开仓日期,开仓价,平仓日期,平仓价,持仓数量,毛利盈亏,净盈亏,是否盈利
2023-03-06,12.09,2023-03-10,10.79,78600,-102180.0,-102181.8,否
2023-04-20,10.69,2023-04-27,9.85,80100,-67284.0,-67285.65,否
2023-05-12,10.61,2023-05-24,9.99,74100,-45942.0,-45943.53,否
2023-07-24,9.41,2023-08-21,9.64,79100,18193.0,18191.49,是
2023-09-15,9.43,2023-09-20,9.28,81300,-12195.0,-12196.52,否
2024-01-08,7.31,2024-01-16,7.27,102100,-4084.0,-4085.49,否
2024-01-26,7.55,2024-03-15,8.63,98500,106380.0,106378.41,是
2024-03-28,8.59,2024-04-15,8.15,98500,-43340.0,-43341.65,否
2024-04-26,8.67,2024-06-07,9.0,92800,30624.0,30622.36,是
2024-07-04,9.1,2024-08-02,9.02,91700,-7336.0,-7337.66,否
2024-08-22,9.14,2024-09-10,8.66,90600,-43488.0,-43489.61,否
2024-09-30,10.42,2024-10-31,10.37,77000,-3850.0,-3851.6,否
2024-11-19,10.79,2024-11-26,10.22,72600,-41382.0,-41383.53,否
2024-12-11,10.83,2025-01-09,10.54,68700,-19923.0,-19924.47,否
2025-02-14,10.53,2025-03-10,10.7,68800,11696.0,11694.54,是
2025-03-14,10.86,2025-03-27,10.41,67700,-30465.0,-30466.44,否
2025-04-29,10.04,2025-07-28,11.75,70500,120555.0,120553.46,是
2025-10-21,11.04,2025-12-05,11.13,74300,6687.0,6685.35,是
2025-12-26,11.2,2026-01-13,11.12,74000,-5920.0,-5921.65,否
2026-02-25,10.55,2026-03-04,10.48,78000,-5460.0,-5461.64,否
2026-03-20,10.51,2026-04-24,10.62,77700,8547.0,8545.36,是
2026-04-30,11.14,2026-05-20,10.5,74000,-47360.0,-47361.6,否
2026-06-09,10.65,2026-06-30,10.22,73200,-31476.0,-31477.53,否
2026-07-16,10.85,2026-08-18,11.1,69300,17325.0,17323.48,是
