开仓日期,开仓价,平仓日期,平仓价,持仓数量,毛利盈亏,净盈亏,是否盈利
2023-05-09,17.3,2023-05-26,16.01,54800,-70692.0,-70693.83,否
2023-07-11,15.57,2023-08-08,16.3,56800,41464.0,41462.19,是
2023-10-31,15.57,2023-11-24,15.71,58900,8246.0,8244.16,是
2024-01-09,14.74,2024-02-01,11.92,63000,-177660.0,-177661.68,否
2024-03-05,11.59,2024-04-11,12.58,65200,64548.0,64546.42,是
2024-05-17,11.48,2024-05-20,11.75,71500,19305.0,19303.34,是
2024-05-22,11.21,2024-05-24,11.01,75600,-15120.0,-15121.68,否
2024-08-02,9.56,2024-08-21,7.55,86400,-173664.0,-173665.48,否
2024-09-30,8.36,2024-12-10,22.66,79900,1142570.0,1142567.52,是
2025-02-05,18.32,2025-03-04,19.43,95900,106449.0,106445.38,是
2025-03-18,20.09,2025-04-08,16.46,92900,-337227.0,-337230.4,否
2025-04-23,22.44,2025-06-12,33.62,68300,763594.0,763590.17,是
2025-07-15,33.63,2025-09-03,37.44,66900,254889.0,254884.25,是
2025-11-13,33.25,2025-11-20,32.47,74900,-58422.0,-58426.92,否
2025-12-26,30.84,2026-01-12,30.13,79800,-56658.0,-56662.87,否
2026-01-19,29.68,2026-02-03,28.98,80300,-56210.0,-56214.71,否
2026-03-06,28.88,2026-03-12,28.55,80400,-26532.0,-26536.62,否
2026-04-17,26.18,2026-05-11,26.83,87500,56875.0,56870.36,是
2026-06-11,23.23,2026-06-22,21.6,100800,-164304.0,-164308.52,否
2026-08-05,19.81,2026-08-25,19.14,110900,-74303.0,-74307.32,否
